timestamp,active_power,power_factor,appliance,confidence,state,is_phantom,alert
75,0.39,0.19,BLDC Ceiling Fan,0.66,Active/Off,False,
76,0.21,0.27,Set-Top Box (Standby),0.37,Standby,False,
77,0.19,0.24,Wi-Fi Router,0.34,Standby,False,
78,0.41,0.18,Laptop Charger (Idle),0.43,Standby,False,
79,0.37,0.13,Off / Idle,1.0,Active/Off,False,
80,5.41,0.37,Smart TV (Standby),0.56,Standby,False,
81,5.94,0.44,Smart TV (Standby),0.81,Standby,False,
82,5.16,0.49,Laptop Charger (Idle),0.82,Standby,False,
83,5.29,0.42,Laptop Charger (Idle),0.97,Standby,False,
84,3.84,0.46,Laptop Charger (Idle),0.97,Standby,False,
85,3.31,0.48,Laptop Charger (Idle),0.97,Standby,False,
86,3.72,0.38,Laptop Charger (Idle),0.97,Standby,False,
87,4.64,0.38,Laptop Charger (Idle),0.98,Standby,False,
88,4.41,0.45,Laptop Charger (Idle),0.98,Standby,False,
89,4.61,0.43,Laptop Charger (Idle),0.98,Standby,False,
90,4.6,0.47,Laptop Charger (Idle),0.98,Standby,True,PHANTOM LOAD: Laptop Charger (Idle) has been in standby for 15 min drawing 4.6 W (~3.3 units / Rs 23 per month). Enable auto cut-off for this socket.
91,3.54,0.37,Laptop Charger (Idle),0.98,Standby,True,
92,5.7,0.5,Laptop Charger (Idle),0.97,Standby,True,
93,4.37,0.49,Laptop Charger (Idle),0.97,Standby,True,
94,4.15,0.36,Laptop Charger (Idle),0.97,Standby,True,
95,4.39,0.46,Laptop Charger (Idle),0.97,Standby,True,
96,5.18,0.48,Laptop Charger (Idle),0.97,Standby,True,
97,5.16,0.38,Laptop Charger (Idle),0.98,Standby,True,
