Timestamp,Voltage,Current,ActivePower,ReactivePower,PowerFactor,Appliance,Status,NILMLabel,Energy_kWh,CumulativeEnergy_kWh
2026-09-23 08:22:00,228.92,0.002,0.06,0.35,0.163,Fan,OFF,Off / Idle,1e-06,0.011032
2026-09-23 08:23:00,229.07,0.002,0.1,0.34,0.289,Fan,OFF,Off / Idle,2e-06,0.011034
2026-09-23 08:24:00,231.51,0.002,0.13,0.54,0.231,Fan,OFF,Off / Idle,2e-06,0.011036
2026-09-23 08:25:00,229.58,0.006,0.28,1.43,0.192,Fan,OFF,Off / Idle,5e-06,0.011041
2026-09-23 08:26:00,229.06,0.002,0.11,0.51,0.212,Fan,OFF,Off / Idle,2e-06,0.011043
2026-09-23 08:27:00,229.05,0.003,0.2,0.67,0.28,Fan,OFF,Off / Idle,3e-06,0.011046
2026-09-23 08:28:00,229.6,0.002,0.1,0.33,0.3,Fan,OFF,Off / Idle,2e-06,0.011048
2026-09-23 08:29:00,230.04,0.003,0.07,0.66,0.109,Fan,OFF,Off / Idle,1e-06,0.011049
2026-09-23 08:30:00,228.44,0.44,97.65,23.92,0.971,TV,ON,Smart TV (Active),0.001627,0.012676
2026-09-23 08:31:00,229.69,0.297,63.81,24.34,0.934,TV,ON,Smart TV (Active),0.001064,0.01374
2026-09-23 08:32:00,231.98,0.401,91.75,14.71,0.987,TV,ON,Smart TV (Active),0.001529,0.015269
2026-09-23 08:33:00,231.44,0.272,60.69,16.53,0.965,TV,ON,Smart TV (Active),0.001011,0.01628
2026-09-23 08:34:00,230.73,0.433,92.22,38.16,0.924,TV,ON,Smart TV (Active),0.001537,0.017817
2026-09-23 08:35:00,230.56,0.308,66.69,24.4,0.939,TV,ON,Smart TV (Active),0.001112,0.018929
2026-09-23 08:36:00,229.81,0.521,117.23,24.51,0.979,TV,ON,Smart TV (Active),0.001954,0.020883
2026-09-23 08:37:00,229.05,0.429,90.04,39.41,0.916,TV,ON,Smart TV (Active),0.001501,0.022383
2026-09-23 08:38:00,231.65,0.523,112.23,45.46,0.927,TV,ON,Smart TV (Active),0.001871,0.024254
2026-09-23 08:39:00,230.56,0.458,96.54,42.92,0.914,TV,ON,Smart TV (Active),0.001609,0.025863
2026-09-23 08:40:00,231.05,0.412,92.36,23.12,0.97,TV,ON,Smart TV (Active),0.001539,0.027402
2026-09-23 08:41:00,230.12,0.281,60.03,23.88,0.929,TV,ON,Smart TV (Active),0.001001,0.028403
2026-09-23 08:42:00,228.08,0.518,115.75,24.05,0.979,TV,ON,Smart TV (Active),0.001929,0.030332
2026-09-23 08:43:00,231.33,0.375,78.45,36.83,0.905,TV,ON,Smart TV (Active),0.001308,0.031639
2026-09-23 08:44:00,231.51,0.556,116.82,54.0,0.908,TV,ON,Smart TV (Active),0.001947,0.033586
2026-09-23 08:45:00,229.94,0.288,64.15,16.51,0.968,TV,ON,Smart TV (Active),0.001069,0.034656
2026-09-23 08:46:00,231.06,0.311,67.7,23.94,0.943,TV,ON,Smart TV (Active),0.001128,0.035784
2026-09-23 08:47:00,230.2,0.337,75.9,15.99,0.979,TV,ON,Smart TV (Active),0.001265,0.037049
2026-09-23 08:48:00,229.69,0.334,72.71,24.27,0.949,TV,ON,Smart TV (Active),0.001212,0.038261
2026-09-23 08:49:00,230.92,0.336,72.07,28.92,0.928,TV,ON,Smart TV (Active),0.001201,0.039462
2026-09-23 08:50:00,231.98,0.034,2.3,7.66,0.288,TV,Standby,Smart TV (Standby),3.8e-05,0.0395
2026-09-23 08:51:00,230.07,0.022,1.24,4.92,0.245,TV,Standby,Smart TV (Standby),2.1e-05,0.039521
2026-09-23 08:52:00,229.35,0.039,2.18,8.58,0.246,TV,Standby,Smart TV (Standby),3.6e-05,0.039557
2026-09-23 08:53:00,228.88,0.015,1.14,3.31,0.326,TV,Standby,Smart TV (Standby),1.9e-05,0.039576
2026-09-23 08:54:00,228.92,0.033,2.81,7.02,0.372,TV,Standby,Smart TV (Standby),4.7e-05,0.039623
2026-09-23 08:55:00,228.28,0.019,1.48,4.17,0.334,TV,Standby,Smart TV (Standby),2.5e-05,0.039648
2026-09-23 08:56:00,228.86,0.014,1.26,3.01,0.387,TV,Standby,Smart TV (Standby),2.1e-05,0.039669
2026-09-23 08:57:00,230.28,0.024,1.95,5.09,0.357,TV,Standby,Smart TV (Standby),3.2e-05,0.039701
2026-09-23 08:58:00,231.23,0.027,1.38,6.14,0.219,TV,Standby,Smart TV (Standby),2.3e-05,0.039724
2026-09-23 08:59:00,229.72,0.027,1.85,6.02,0.293,TV,Standby,Smart TV (Standby),3.1e-05,0.039755
2026-09-23 09:00:00,230.92,0.026,2.35,5.43,0.397,TV,Standby,Smart TV (Standby),3.9e-05,0.039794
2026-09-23 09:01:00,228.39,0.03,1.81,6.49,0.268,TV,Standby,Smart TV (Standby),3e-05,0.039824
2026-09-23 09:02:00,231.45,0.027,1.5,6.11,0.238,TV,Standby,Smart TV (Standby),2.5e-05,0.039849
2026-09-23 09:03:00,229.79,0.031,1.84,6.97,0.256,TV,Standby,Smart TV (Standby),3.1e-05,0.03988
2026-09-23 09:04:00,229.0,0.043,2.85,9.44,0.289,TV,Standby,Smart TV (Standby),4.7e-05,0.039927
2026-09-23 09:05:00,231.45,0.043,2.1,9.77,0.21,TV,Standby,Smart TV (Standby),3.5e-05,0.039962
2026-09-23 09:06:00,232.0,0.029,2.67,6.24,0.394,TV,Standby,Smart TV (Standby),4.5e-05,0.040007
2026-09-23 09:07:00,231.71,0.05,2.7,11.24,0.233,TV,Standby,Smart TV (Standby),4.5e-05,0.040052
2026-09-23 09:08:00,229.94,0.022,1.43,4.89,0.28,TV,Standby,Smart TV (Standby),2.4e-05,0.040076
2026-09-23 09:09:00,228.23,0.019,1.76,4.06,0.397,TV,Standby,Smart TV (Standby),2.9e-05,0.040105
2026-09-23 09:10:00,229.06,0.3,64.6,23.24,0.941,Laptop,ON,Laptop Charger (Active),0.001077,0.041182
2026-09-23 09:11:00,229.69,0.303,68.93,10.03,0.99,Laptop,ON,Laptop Charger (Active),0.001149,0.042331
2026-09-23 09:12:00,230.22,0.299,62.96,27.96,0.914,Laptop,ON,Laptop Charger (Active),0.001049,0.04338
2026-09-23 09:13:00,229.19,0.317,69.22,22.22,0.952,Laptop,ON,Laptop Charger (Active),0.001154,0.044533
2026-09-23 09:14:00,230.17,0.306,63.7,29.92,0.905,Laptop,ON,Laptop Charger (Active),0.001062,0.045595
2026-09-23 09:15:00,230.34,0.256,57.57,12.64,0.977,Laptop,ON,Laptop Charger (Active),0.00096,0.046555
2026-09-23 09:16:00,228.63,0.333,69.02,32.0,0.907,Laptop,ON,Laptop Charger (Active),0.00115,0.047705
2026-09-23 09:17:00,228.74,0.272,59.88,17.28,0.961,Laptop,ON,Laptop Charger (Active),0.000998,0.048703
2026-09-23 09:18:00,228.94,0.214,48.0,9.71,0.98,Laptop,ON,Laptop Charger (Active),0.0008,0.049503
2026-09-23 09:19:00,228.98,0.274,59.86,18.43,0.956,Laptop,ON,Laptop Charger (Active),0.000998,0.050501
2026-09-23 09:20:00,229.68,0.274,59.59,20.2,0.947,Laptop,ON,Laptop Charger (Active),0.000993,0.051494
2026-09-23 09:21:00,231.74,0.224,50.11,13.73,0.964,Laptop,ON,Laptop Charger (Active),0.000835,0.052329
2026-09-23 09:22:00,228.95,0.25,54.89,15.91,0.96,Laptop,ON,Laptop Charger (Active),0.000915,0.053244
2026-09-23 09:23:00,229.2,0.239,52.9,13.79,0.968,Laptop,ON,Laptop Charger (Active),0.000882,0.054126
2026-09-23 09:24:00,228.29,0.25,56.46,8.1,0.99,Laptop,ON,Laptop Charger (Active),0.000941,0.055066
2026-09-23 09:25:00,231.98,0.22,46.83,20.07,0.919,Laptop,ON,Laptop Charger (Active),0.000781,0.055847
2026-09-23 09:26:00,229.06,0.305,68.33,14.13,0.979,Laptop,ON,Laptop Charger (Active),0.001139,0.056986
2026-09-23 09:27:00,231.52,0.256,54.24,24.04,0.914,Laptop,ON,Laptop Charger (Active),0.000904,0.05789
2026-09-23 09:28:00,231.33,0.283,62.59,19.43,0.955,Laptop,ON,Laptop Charger (Active),0.001043,0.058933
2026-09-23 09:29:00,231.95,0.294,61.35,29.59,0.901,Laptop,ON,Laptop Charger (Active),0.001022,0.059955
2026-09-23 09:30:00,231.27,0.042,3.9,8.96,0.399,Laptop,Standby,Laptop Charger (Idle),6.5e-05,0.06002
2026-09-23 09:31:00,231.76,0.063,3.4,14.1,0.235,Laptop,Standby,Laptop Charger (Idle),5.7e-05,0.060077
2026-09-23 09:32:00,228.43,0.072,4.66,15.87,0.282,Laptop,Standby,Laptop Charger (Idle),7.8e-05,0.060155
2026-09-23 09:33:00,230.42,0.086,5.15,19.05,0.261,Laptop,Standby,Laptop Charger (Idle),8.6e-05,0.060241
2026-09-23 09:34:00,230.54,0.047,3.79,10.26,0.347,Laptop,Standby,Laptop Charger (Idle),6.3e-05,0.060304
2026-09-23 09:35:00,231.62,0.105,5.54,23.69,0.228,Laptop,Standby,Laptop Charger (Idle),9.2e-05,0.060396
2026-09-23 09:36:00,229.69,0.083,3.83,18.66,0.201,Laptop,Standby,Laptop Charger (Idle),6.4e-05,0.06046
2026-09-23 09:37:00,231.08,0.076,4.91,16.93,0.279,Laptop,Standby,Laptop Charger (Idle),8.2e-05,0.060542
2026-09-23 09:38:00,230.96,0.061,4.66,13.39,0.328,Laptop,Standby,Laptop Charger (Idle),7.8e-05,0.060619
2026-09-23 09:39:00,228.04,0.03,3.23,6.14,0.465,Laptop,Standby,Laptop Charger (Idle),5.4e-05,0.060673
2026-09-23 09:40:00,231.62,0.044,4.64,9.19,0.45,Laptop,Standby,Laptop Charger (Idle),7.7e-05,0.060751
2026-09-23 09:41:00,230.33,0.063,3.44,14.04,0.238,Laptop,Standby,Laptop Charger (Idle),5.7e-05,0.060808
2026-09-23 09:42:00,229.23,0.057,5.7,11.67,0.439,Laptop,Standby,Laptop Charger (Idle),9.5e-05,0.060903
2026-09-23 09:43:00,231.44,0.094,5.7,20.9,0.263,Laptop,Standby,Laptop Charger (Idle),9.5e-05,0.060998
2026-09-23 09:44:00,229.0,0.033,3.31,6.87,0.434,Laptop,Standby,Laptop Charger (Idle),5.5e-05,0.061053
2026-09-23 09:45:00,231.54,0.047,4.22,10.08,0.386,Laptop,Standby,Laptop Charger (Idle),7e-05,0.061123
2026-09-23 09:46:00,228.62,0.055,5.79,11.19,0.459,Laptop,Standby,Laptop Charger (Idle),9.6e-05,0.06122
2026-09-23 09:47:00,231.9,0.05,5.43,10.36,0.464,Laptop,Standby,Laptop Charger (Idle),9.1e-05,0.06131
2026-09-23 09:48:00,228.1,0.076,5.21,16.59,0.3,Laptop,Standby,Laptop Charger (Idle),8.7e-05,0.061397
2026-09-23 09:49:00,231.72,0.051,5.41,10.46,0.459,Laptop,Standby,Laptop Charger (Idle),9e-05,0.061487
2026-09-23 09:50:00,231.24,0.7,148.68,64.18,0.918,Refrigerator,ON,Refrigerator,0.002478,0.063965
2026-09-23 09:51:00,228.43,0.9,191.05,76.23,0.929,Refrigerator,ON,Refrigerator,0.003184,0.067149
2026-09-23 09:52:00,228.89,0.941,187.16,106.55,0.869,Refrigerator,ON,Refrigerator,0.003119,0.070269
2026-09-23 09:53:00,229.22,0.971,185.67,122.77,0.834,Refrigerator,ON,Refrigerator,0.003095,0.073363
2026-09-23 09:54:00,228.09,0.741,143.52,89.23,0.849,Refrigerator,ON,Refrigerator,0.002392,0.075755
2026-09-23 09:55:00,231.46,1.014,197.68,126.72,0.842,Refrigerator,ON,Refrigerator,0.003295,0.07905
2026-09-23 09:56:00,230.57,0.723,157.98,53.49,0.947,Refrigerator,ON,Refrigerator,0.002633,0.081683
2026-09-23 09:57:00,230.14,1.041,195.75,138.0,0.817,Refrigerator,ON,Refrigerator,0.003262,0.084945
2026-09-23 09:58:00,231.88,0.651,142.5,49.62,0.944,Refrigerator,ON,Refrigerator,0.002375,0.08732
2026-09-23 09:59:00,229.06,0.694,137.59,79.74,0.865,Refrigerator,ON,Refrigerator,0.002293,0.089614
2026-09-23 10:00:00,230.91,0.739,151.96,77.46,0.891,Refrigerator,ON,Refrigerator,0.002533,0.092146
2026-09-23 10:01:00,230.05,0.77,156.96,81.94,0.886,Refrigerator,ON,Refrigerator,0.002616,0.094762
2026-09-23 10:02:00,229.02,0.98,179.61,134.59,0.8,Refrigerator,ON,Refrigerator,0.002994,0.097756
2026-09-23 10:03:00,231.7,0.797,167.69,77.42,0.908,Refrigerator,ON,Refrigerator,0.002795,0.100551
2026-09-23 10:04:00,230.97,0.896,176.94,107.5,0.855,Refrigerator,ON,Refrigerator,0.002949,0.1035
2026-09-23 10:05:00,228.28,0.91,176.5,109.6,0.85,Refrigerator,ON,Refrigerator,0.002942,0.106441
2026-09-23 10:06:00,229.26,0.91,189.36,87.4,0.908,Refrigerator,ON,Refrigerator,0.003156,0.109597
2026-09-23 10:07:00,229.2,0.768,151.65,89.48,0.861,Refrigerator,ON,Refrigerator,0.002527,0.112125
2026-09-23 10:08:00,229.61,0.801,150.7,105.54,0.819,Refrigerator,ON,Refrigerator,0.002512,0.114636
2026-09-23 10:09:00,229.68,0.946,195.83,93.95,0.902,Refrigerator,ON,Refrigerator,0.003264,0.1179
2026-09-23 10:10:00,231.61,0.005,0.2,1.26,0.16,Refrigerator,OFF,Off / Idle,3e-06,0.117904
2026-09-23 10:11:00,230.19,0.001,0.05,0.31,0.157,Refrigerator,OFF,Off / Idle,1e-06,0.117904
2026-09-23 10:12:00,229.72,0.004,0.19,0.82,0.231,Refrigerator,OFF,Off / Idle,3e-06,0.117908
2026-09-23 10:13:00,229.86,0.005,0.16,1.11,0.143,Refrigerator,OFF,Off / Idle,3e-06,0.11791
2026-09-23 10:14:00,229.89,0.005,0.28,1.03,0.259,Refrigerator,OFF,Off / Idle,5e-06,0.117915
2026-09-23 10:15:00,228.68,0.002,0.07,0.34,0.203,Refrigerator,OFF,Off / Idle,1e-06,0.117916
2026-09-23 10:16:00,230.53,0.002,0.13,0.49,0.264,Refrigerator,OFF,Off / Idle,2e-06,0.117918
2026-09-23 10:17:00,231.0,0.007,0.22,1.49,0.145,Refrigerator,OFF,Off / Idle,4e-06,0.117922
2026-09-23 10:18:00,228.8,0.002,0.06,0.37,0.149,Refrigerator,OFF,Off / Idle,1e-06,0.117923
2026-09-23 10:19:00,229.9,0.01,0.26,2.28,0.115,Refrigerator,OFF,Off / Idle,4e-06,0.117927
2026-09-23 10:20:00,229.66,0.007,0.21,1.48,0.139,Refrigerator,OFF,Off / Idle,3e-06,0.117931
2026-09-23 10:21:00,230.79,0.005,0.17,1.15,0.149,Refrigerator,OFF,Off / Idle,3e-06,0.117934
2026-09-23 10:22:00,230.62,0.001,0.05,0.2,0.25,Refrigerator,OFF,Off / Idle,1e-06,0.117935
2026-09-23 10:23:00,231.08,0.002,0.08,0.41,0.185,Refrigerator,OFF,Off / Idle,1e-06,0.117936
2026-09-23 10:24:00,228.7,0.006,0.29,1.39,0.204,Refrigerator,OFF,Off / Idle,5e-06,0.117941
2026-09-23 10:25:00,228.2,6.501,1424.6,413.94,0.96,AC,ON,Air Conditioner,0.023743,0.141684
2026-09-23 10:26:00,229.83,7.899,1700.71,635.24,0.937,AC,ON,Air Conditioner,0.028345,0.170029
2026-09-23 10:27:00,231.95,7.076,1597.73,375.29,0.974,AC,ON,Air Conditioner,0.026629,0.196658
2026-09-23 10:28:00,231.57,7.352,1606.33,564.14,0.944,AC,ON,Air Conditioner,0.026772,0.22343
2026-09-23 10:29:00,230.02,8.095,1715.28,724.37,0.921,AC,ON,Air Conditioner,0.028588,0.252018
2026-09-23 10:30:00,231.59,7.918,1671.83,753.37,0.912,AC,ON,Air Conditioner,0.027864,0.279882
2026-09-23 10:31:00,229.04,6.663,1423.62,549.59,0.933,AC,ON,Air Conditioner,0.023727,0.303609
2026-09-23 10:32:00,231.06,7.251,1560.65,609.53,0.931,AC,ON,Air Conditioner,0.026011,0.32962
2026-09-23 10:33:00,229.1,6.587,1338.74,696.41,0.887,AC,ON,Air Conditioner,0.022312,0.351932
2026-09-23 10:34:00,229.09,6.925,1459.85,620.93,0.92,AC,ON,Air Conditioner,0.024331,0.376263
2026-09-23 10:35:00,228.55,6.588,1415.63,512.8,0.94,AC,ON,Air Conditioner,0.023594,0.399857
2026-09-23 10:36:00,230.83,6.391,1332.11,633.86,0.903,AC,ON,Air Conditioner,0.022202,0.422059
2026-09-23 10:37:00,230.17,7.471,1507.89,826.6,0.877,AC,ON,Air Conditioner,0.025131,0.44719
2026-09-23 10:38:00,229.68,8.24,1752.42,714.83,0.926,AC,ON,Air Conditioner,0.029207,0.476397
2026-09-23 10:39:00,230.78,7.887,1728.37,570.98,0.95,AC,ON,Air Conditioner,0.028806,0.505203
2026-09-23 10:40:00,229.52,6.338,1302.95,646.73,0.896,AC,ON,Air Conditioner,0.021716,0.526919
2026-09-23 10:41:00,231.01,7.675,1726.72,402.06,0.974,AC,ON,Air Conditioner,0.028779,0.555698
2026-09-23 10:42:00,229.68,7.912,1673.76,707.98,0.921,AC,ON,Air Conditioner,0.027896,0.583594
2026-09-23 10:43:00,230.41,6.967,1410.27,766.83,0.879,AC,ON,Air Conditioner,0.023504,0.607098
2026-09-23 10:44:00,229.74,6.402,1314.51,659.94,0.894,AC,ON,Air Conditioner,0.021909,0.629007
2026-09-23 10:45:00,230.72,0.034,1.81,7.55,0.233,AC,Standby,Smart TV (Standby),3e-05,0.629037
2026-09-23 10:46:00,229.87,0.017,1.26,3.66,0.324,AC,Standby,Smart TV (Standby),2.1e-05,0.629058
2026-09-23 10:47:00,228.11,0.025,1.79,5.43,0.313,AC,Standby,Smart TV (Standby),3e-05,0.629088
2026-09-23 10:48:00,228.11,0.044,2.29,9.8,0.227,AC,Standby,Smart TV (Standby),3.8e-05,0.629126
2026-09-23 10:49:00,229.85,0.017,1.1,3.84,0.276,AC,Standby,Smart TV (Standby),1.8e-05,0.629144
2026-09-23 10:50:00,228.85,0.021,1.65,4.39,0.352,AC,Standby,Smart TV (Standby),2.8e-05,0.629172
2026-09-23 10:51:00,229.52,0.03,2.5,6.36,0.366,AC,Standby,Smart TV (Standby),4.2e-05,0.629213
2026-09-23 10:52:00,229.01,0.025,1.16,5.59,0.204,AC,Standby,Smart TV (Standby),1.9e-05,0.629233
2026-09-23 10:53:00,230.16,0.048,3.0,10.7,0.27,AC,Standby,Smart TV (Standby),5e-05,0.629283
2026-09-23 10:54:00,230.6,0.034,2.56,7.32,0.33,AC,Standby,Smart TV (Standby),4.3e-05,0.629325
2026-09-23 10:55:00,231.02,0.052,2.9,11.73,0.24,AC,Standby,Smart TV (Standby),4.8e-05,0.629374
2026-09-23 10:56:00,228.08,0.025,1.3,5.64,0.225,AC,Standby,Smart TV (Standby),2.2e-05,0.629396
2026-09-23 10:57:00,230.68,0.038,2.13,8.47,0.244,AC,Standby,Smart TV (Standby),3.5e-05,0.629431
2026-09-23 10:58:00,230.8,0.047,2.53,10.55,0.234,AC,Standby,Smart TV (Standby),4.2e-05,0.629473
2026-09-23 10:59:00,230.43,0.049,2.5,10.92,0.223,AC,Standby,Smart TV (Standby),4.2e-05,0.629515
2026-09-23 11:00:00,231.28,0.057,2.93,12.89,0.222,AC,Standby,Smart TV (Standby),4.9e-05,0.629564
2026-09-23 11:01:00,228.1,0.021,1.62,4.56,0.335,AC,Standby,Smart TV (Standby),2.7e-05,0.629591
2026-09-23 11:02:00,231.83,0.023,1.79,4.91,0.343,AC,Standby,Smart TV (Standby),3e-05,0.629621
2026-09-23 11:03:00,228.3,0.032,2.38,6.92,0.325,AC,Standby,Smart TV (Standby),4e-05,0.62966
2026-09-23 11:04:00,228.41,0.03,2.54,6.39,0.37,AC,Standby,Smart TV (Standby),4.2e-05,0.629703
